timeStamp,elapsed,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
946681236878,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 67: http://172.20.10.4:8080/tools.descartes.teastore.webui/product?id=${product_id},Thread-Gruppe 1-14,text,false,,1231,0,15,15,null,0,0,0
946681237484,1291,500,,Thread-Gruppe 1-9,text,false,,7162,279,15,15,null,1291,0,0
946681237484,1539,500,,Thread-Gruppe 1-11,text,false,,7162,279,15,15,null,1539,0,0
946681237307,1717,500,,Thread-Gruppe 1-1,text,false,,7162,279,15,15,null,1716,0,0
946681237484,1591,500,,Thread-Gruppe 1-14,text,false,,7162,279,15,15,null,1591,0,0
946681237372,1994,500,,Thread-Gruppe 1-4,text,false,,7162,279,15,15,null,1994,0,0
946681237307,2060,500,,Thread-Gruppe 1-3,text,false,,7162,279,15,15,null,2059,0,0
946681237484,1979,500,,Thread-Gruppe 1-8,text,false,,7162,279,15,15,null,1979,0,0
946681237372,2186,500,,Thread-Gruppe 1-10,text,false,,7162,279,15,15,null,2185,0,0
946681233265,23910,200,,Thread-Gruppe 1-15,text,true,,10376,434,15,15,null,1245,0,18
946681233265,1245,302,,Thread-Gruppe 1-15,,true,,262,279,15,15,null,1245,0,18
946681234512,22663,200,,Thread-Gruppe 1-15,text,true,,10114,155,15,15,null,22663,0,0
946681257175,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 74: http://172.20.10.4:8080/tools.descartes.teastore.webui/category?category=${category}&page=1,Thread-Gruppe 1-15,text,false,,1243,0,15,15,null,0,0,0
946681233267,23912,200,,Thread-Gruppe 1-12,text,true,,10376,434,15,15,null,1243,0,17
946681233267,1243,302,,Thread-Gruppe 1-12,,true,,262,279,15,15,null,1243,0,17
946681234512,22667,200,,Thread-Gruppe 1-12,text,true,,10114,155,15,15,null,22667,0,0
946681257179,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 74: http://172.20.10.4:8080/tools.descartes.teastore.webui/category?category=${category}&page=1,Thread-Gruppe 1-12,text,false,,1243,0,15,15,null,0,0,0
946681233261,24014,200,,Thread-Gruppe 1-13,text,true,,10376,434,15,15,null,1249,0,21
946681233261,1249,302,,Thread-Gruppe 1-13,,true,,262,279,15,15,null,1249,0,21
946681234512,22763,200,,Thread-Gruppe 1-13,text,true,,10114,155,15,15,null,22763,0,0
946681257275,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 74: http://172.20.10.4:8080/tools.descartes.teastore.webui/category?category=${category}&page=1,Thread-Gruppe 1-13,text,false,,1243,0,15,15,null,0,0,0
946681257778,0,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 67: http://172.20.10.4:8080/tools.descartes.teastore.webui/product?id=${product_id},Thread-Gruppe 1-12,text,false,,1231,0,15,15,null,0,0,0
