timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
946681201622,1255,L1: RUN 1,200,,Thread-Gruppe 1-18,text,true,,9118,150,30,30,null,961,0,0
946681200833,2044,L1: RUN 1,200,,Thread-Gruppe 1-6,text,true,,123956,176,30,30,null,1439,0,0
946681201249,1849,L1: RUN 1,200,,Thread-Gruppe 1-21,text,true,,9922,429,30,30,null,480,0,0
946681201249,480,L1: RUN 1,302,,Thread-Gruppe 1-21,,true,,804,279,30,30,null,480,0,0
946681201729,1369,L1: RUN 1,200,,Thread-Gruppe 1-21,text,true,,9118,150,30,30,null,1369,0,0
946681201345,1936,L1: RUN 1,200,,Thread-Gruppe 1-24,text,true,,9922,429,30,30,null,574,0,0
946681201345,574,L1: RUN 1,302,,Thread-Gruppe 1-24,,true,,804,279,30,30,null,574,0,0
946681201919,1362,L1: RUN 1,200,,Thread-Gruppe 1-24,text,true,,9118,150,30,30,null,1362,0,0
946681200911,2370,L1: RUN 1,200,,Thread-Gruppe 1-15,text,true,,9921,429,30,30,null,345,0,0
946681200911,345,L1: RUN 1,302,,Thread-Gruppe 1-15,,true,,803,279,30,30,null,345,0,0
946681201256,2025,L1: RUN 1,200,,Thread-Gruppe 1-15,text,true,,9118,150,30,30,null,2025,0,0
946681201726,1555,L1: RUN 1,200,,Thread-Gruppe 1-29,text,true,,9920,429,30,30,null,190,0,0
946681201726,190,L1: RUN 1,302,,Thread-Gruppe 1-29,,true,,802,279,30,30,null,190,0,0
946681201916,1365,L1: RUN 1,200,,Thread-Gruppe 1-29,text,true,,9118,150,30,30,null,1365,0,0
946681201081,2200,L1: RUN 1,200,,Thread-Gruppe 1-16,text,true,,9922,429,30,30,null,494,0,0
946681201081,494,L1: RUN 1,302,,Thread-Gruppe 1-16,,true,,804,279,30,30,null,494,0,0
946681201575,1706,L1: RUN 1,200,,Thread-Gruppe 1-16,text,true,,9118,150,30,30,null,1524,0,0
946681201447,1964,L1: RUN 1,200,,Thread-Gruppe 1-27,text,true,,9921,429,30,30,null,472,0,0
946681201447,472,L1: RUN 1,302,,Thread-Gruppe 1-27,,true,,803,279,30,30,null,472,0,0
946681201919,1492,L1: RUN 1,200,,Thread-Gruppe 1-27,text,true,,9118,150,30,30,null,1362,0,0
946681201726,1688,L1: RUN 1,200,,Thread-Gruppe 1-30,text,true,,9920,429,30,30,null,190,0,0
946681201726,190,L1: RUN 1,302,,Thread-Gruppe 1-30,,true,,802,279,30,30,null,190,0,0
946681201916,1498,L1: RUN 1,200,,Thread-Gruppe 1-30,text,true,,9118,150,30,30,null,1495,0,0
946681201413,2001,L1: RUN 1,200,,Thread-Gruppe 1-26,text,true,,9921,429,30,30,null,506,0,0
946681201413,506,L1: RUN 1,302,,Thread-Gruppe 1-26,,true,,803,279,30,30,null,506,0,0
946681201919,1495,L1: RUN 1,200,,Thread-Gruppe 1-26,text,true,,9118,150,30,30,null,1495,0,0
946681201122,2941,L1: RUN 1,200,,Thread-Gruppe 1-19,text,true,,9921,429,30,30,null,607,0,0
946681201122,607,L1: RUN 1,302,,Thread-Gruppe 1-19,,true,,803,279,30,30,null,607,0,0
946681201729,2334,L1: RUN 1,200,,Thread-Gruppe 1-19,text,true,,9118,150,30,30,null,2334,0,0
946681201065,3020,L1: RUN 1,200,,Thread-Gruppe 1-7,text,true,,123956,176,30,30,null,1443,0,0
946681200799,3354,L1: RUN 1,200,,Thread-Gruppe 1-5,text,true,,151559,176,30,30,null,1468,0,0
946681201034,3120,L1: RUN 1,200,,Thread-Gruppe 1-3,text,true,,112658,176,30,30,null,1534,0,0
946681201131,3181,L1: RUN 1,200,,Thread-Gruppe 1-9,text,true,,105228,176,30,30,null,1454,0,0
946681201046,4533,L1: RUN 1,200,,Thread-Gruppe 1-1,text,true,,107430,164,30,30,null,3266,0,0
946681201099,4857,L1: RUN 1,200,,Thread-Gruppe 1-8,text,true,,97994,176,30,30,null,2315,0,0
946681202796,3202,L1: RUN 1,200,,Thread-Gruppe 1-4,text,true,,112854,164,30,30,null,2396,0,0
946681201317,4681,L1: RUN 1,200,,Thread-Gruppe 1-11,text,true,,97994,176,30,30,null,2097,0,0
946681202149,3910,L1: RUN 1,200,,Thread-Gruppe 1-25,text,true,,123956,176,30,30,null,1934,0,0
946681202878,3189,L1: RUN 1,200,,Thread-Gruppe 1-6,text,true,,126427,164,30,30,null,2535,0,0
946681202648,3421,L1: RUN 1,200,,Thread-Gruppe 1-20,text,true,,97994,176,30,30,null,1638,0,0
946681201435,4641,L1: RUN 1,200,,Thread-Gruppe 1-12,text,true,,151559,176,30,30,null,2846,0,0
946681205578,498,L1: RUN 1,200,,Thread-Gruppe 1-1,text,true,,9792,263,30,30,null,498,0,0
946681202509,3567,L1: RUN 1,200,,Thread-Gruppe 1-28,text,true,,97994,176,30,30,null,1827,0,0
946681202267,3811,L1: RUN 1,200,,Thread-Gruppe 1-14,text,true,,112658,176,30,30,null,2069,0,0
946681204154,2037,L1: RUN 1,200,,Thread-Gruppe 1-5,text,true,,154381,164,30,30,null,1684,0,0
946681204086,2105,L1: RUN 1,200,,Thread-Gruppe 1-7,text,true,,124972,164,30,30,null,1656,0,0
946681204313,1890,L1: RUN 1,200,,Thread-Gruppe 1-9,text,true,,108416,164,30,30,null,1536,0,0
946681204155,2076,L1: RUN 1,200,,Thread-Gruppe 1-3,text,true,,108766,164,30,30,null,1700,0,0
946681202272,3974,L1: RUN 1,200,,Thread-Gruppe 1-22,text,true,,97994,176,30,30,null,1895,0,0
946681201245,5034,L1: RUN 1,200,,Thread-Gruppe 1-10,text,true,,97994,176,30,30,null,2922,0,0
946681205997,287,L1: RUN 1,200,,Thread-Gruppe 1-4,text,true,,9792,263,30,30,null,287,0,0
